Course Name,Prerequisites,Credits,Course Length,Grade Year,is AP,is Honors,Course Description,Department,Number
ENTREPRENEURSHIP (636),None.,5.0,Full Year,11-12,False,False,Entrepreneurship is designed to provide students with a solid foundation and understanding of the vital role played by entrepreneurs and entrepreneurship in the 21st century global economy. During this course students will assess explore critique and celebrate the phenomenon of entrepreneurship. It is designed to help students gain an understanding of the business principles necessary to start and operate a business. Students will identify and assess common traits and skills found in entrepreneurs explore business opportunities and compare the risks and rewards of owning a business. The primary focus of the course is to help students develop the skills needed to effectively organize create and manage their own business. Each student will develop a written business plan for a business of their choice. As a dual enrollment course students have the option to earn credit from Syracuse University for successful completion of the class.,Business,10
MARKETING (634),None.,5.0,Full Year,10-12,False,False,This course is for those interested in pursuing a career in marketing advertising market research sales or general business management.  It is designed to develop an understanding of the concepts and strategies needed to create an effective marketing effort for a product or service.  In addition to the development of a marketing plan students will plan create and produce advertising campaigns which will include all major media including television print and digital/social channels.  Sports and entertainment marketing will also be examined over the course of the year.   As a dual enrollment course students who earn a minimum grade of “C” in Marketing are eligible to receive three (3) college credits from Fairleigh Dickinson University.,Business,11
VIRTUAL ENTERPRISES INTERNATIONAL (641),Successful completion of any two business courses except for Personal Financial Literacy.,5.0,Full Year,11-12,False,False,Virtual Enterprises International is a capstone course designed to provide students with the skills and knowledge required to succeed in the global business world.  Students are exposed to the various departments found within corporate culture by participating in a virtual business the Virtual Enterprises International (VEI) simulation with other students around the globe.  Emphasis is placed on using current business software communications and the Internet for business transactions.  As a culmination of this year-long course students will analyze interpret and present an annual business report which is a reflection of the year’s activities and used as a tool for future projection and planning.  In addition they will leave the course with an individually created portfolio that has been used to assess their performance and will convey their roles abilities and skills they have gained through taking the course. As a dual enrollment course students who earn a minimum grade of “C” in Virtual Enterprises International are eligible to receive three (3) college credits from Fairleigh Dickinson University.  Students must complete an application to apply to a specific department where they will focus and specialize.  Areas of specialty include:  Finance Human Resources Information Technology and Marketing/Sales.,Business,12
AP ECONOMICS (650),None.,5.0,Full Year,11-12,True,False,The Advanced Placement Economics program is a rigorous college-level course designed for students with a keen interest in economics and a desire to earn advanced standing in college. The course encompasses two distinct components—Microeconomics and Macroeconomics—equivalent to one-semester college introductory courses in each discipline. Students will explore fundamental economic concepts including scarcity opportunity cost and trade-offs and will develop a thorough understanding of both individual and systemic economic decision-making processes.The Microeconomics section examines market dynamics focusing on supply and demand production costs market structures (perfect and imperfect competition) and factor markets. The Macroeconomics section emphasizes broader economic systems delving into national income market failure the role of government and policies influencing economic stability and growth. Through engaging activities analytical models and real-world applications students will cultivate critical thinking and problem-solving skills. All students are expected to take one or both AP Economics exams in May to demonstrate their mastery of the material.,Business,13
AP MACROECONOMICS (653),None.,5.0,Full Year,11-12,True,False,AP Macroeconomics is a college-level course that introduces students to the principles of economics that apply to national and global economic systems. The program is designed for students with a keen interest in understanding the broader economic forces shaping societies preparing them for advanced studies in economics at the college level. Students explore key macroeconomic indicators such as gross domestic product unemployment rates and inflation as well as the impact of government policies on the economy. The course aims to equip students with the analytical tools needed to comprehend and evaluate the complexities of modern macroeconomic systems. This course covers content essential for the AP Macroeconomics examination and offers students the flexibility to choose an academic experience that suits their individual needs. AP Macroeconomics will run in alternate years with AP Microeconomics. Therefore AP Macroeconomics will run in the 2026-2027 school year and in the 2028-2029 school year.,Business,14
AP MICROECONOMICS (652),None.,5.0,Full Year,11-12,True,False,AP Microeconomics is a college-level course that introduces students to the principles of economics applicable to the functions of individual economic decision-makers. Designed for students with a strong interest in economics who plan to seek advanced standing upon college admission this course delves into key topics such as supply and demand perfect and imperfect competition market factors market failure and the role of governments in regulating markets. Students cultivate their understanding by using economic principles and models to analyze various economic situations and assess how individual choices influence broader market dynamics. Additionally the course explores discussions on market structures and the implications of government intervention in ensuring efficient and equitable market outcomes. This course only covers the specific content needed to prepare students for the AP Microeconomics examination. It is offered to provide students choice for an academic experience that best fits their personal situation.  AP Macroeconomics will run in alternate years with AP Microeconomics. Therefore AP Microeconomics will run in the 2025-2026 school year and in the 2027-2028 school year.,Business,15
COMPUTER APPLICATIONS (623S),None.,2.5,Semester,9-12,False,False,Computer Applications (Microsoft Certification IC3 GS6) is a hands-on computing and technology-driven class designed to deepen students’ understanding of practical computer use for the 21st century. The focus of the course is to prepare students for the Internet and Computing Core/Global Standards (IC3 GS6) Microsoft Certification exam series.The IC3 GS6 program ensures working knowledge and skill level required for use of computer hardware software networks cyber security and the Internet and is an internationally recognized standard for digital literacy and reflects the most relevant skills needed in today’s academic and business environments.  Students that complete this course obtain skills beyond the average computer user. LHS is a Microsoft Authorized Testing Center for the IC3 GS6 certification program. As a dual enrollment course students who earn a minimum of “C” in this course are eligible to receive three (3) credits from Fairleigh Dickinson University.,Business,16
MICROSOFT OFFICE SPECIALIST (625S),,2.5,Semester,9-12,False,False,Students in this course receive in-depth advanced training in the Microsoft Office Suite of programs; Access Excel PowerPoint and Word.  As a result of this training students will be prepared to take the Microsoft Office Specialist Certification (MOS) exams in any of the programs.  MOS certification is the globally recognized standard for validating expertise with the Microsoft Office Suite of programs.  LHS is a Microsoft authorized testing center for the MOS program. This course will be continuously updated with the latest technologies released by Microsoft. As a dual enrollment course students who earn a minimum grade of “C” in Microsoft Office Specialist are eligible to receive three (3) college credits from Fairleigh Dickinson University.,Business,17
INNOVATING WITH ARTIFICIAL INTELLIGENCE  (610),None.,2.5,Semester,9-12,False,False,This course offers an immersive exploration into the world of Artificial Intelligence (AI) technology. Students will define Generative AI and examine its varied applications. There will be a focus on ethical and social implications of AI. Students will critically analyze the societal impacts of Generative AI tackling issues of bias privacy intellectual property and AI's influence on labor markets and societal norms. The curriculum also covers Large Language Models (LLMs) for text creation and creative uses of tools like Adobe Firefly and Canva. Students will also develop productivity skills crucial for using Generative AI tools effectively in the workplace. The course will provide hands-on experience with AI tools including chatbot creation. It emphasizes Innovative Problem-Solving exploring how generative AI addresses complex challenges in various industries and innovative corporate AI applications. This course aims to help students understand apply and ethically interact with AI technologies preparing them as informed digital citizens and innovative thinkers.,Business,18
ECONOMICS (633),None.,2.5,Semester,10-12,False,False,Economics is a course designed to build economic literacy and to illustrate economic cause and effect.  Students will focus on developing knowledge of economic theory and principles the American economy the economic influence of government policies and procedures and the skills needed to apply this knowledge to their own lives.  Students will apply this knowledge to specific examples in the form of class activities and simulations.  Presentation skills are promoted through collaborative activities in the form of group work.  This course does not fulfill the Personal Financial Literacy graduation requirement.,Business,19
INVESTING (614),None.,2.5,Semester,10-12,False,False,Investing is a study of the major types of investment securities and markets in which trades can be made.   The course will address the mechanics of making an investment including basic analytical and valuation techniques for a stock along with a survey of investing resources terms and descriptions. Upon completion of this course students will be able to define the basic principles for creating a portfolio through understanding various types of investment vehicles.  Students will apply this understanding to a global stock market competition and conduct deeper analysis of stocks bonds cryptocurrencies and real estate.,Business,20
PERSONAL FINANCIAL LITERACY (626),None.,2.5,Semester,11-12,False,False,Personal Financial Literacy is a state-mandated graduation requirement for all students.  This course focuses on the five separate strands of personal finance which include income and careers; money management credit and debt management planning saving and investing; becoming critical consumers; citizen financial responsibility; and risk management and insurance.  This course is designed to assist students in recognizing their financial responsibilities today and those they will encounter in the future.  Topics include developing knowledge of banking credit stocks bonds mutual funds and real estate.  Real-life real-time assignments and investment challenges are examples of projects designed for this course.  The following courses fulfill the NJ graduation requirement for Personal Financial Literacy:,Business,21
PERSONAL FINANCIAL LITERACY HYBRID (626S),None.,2.5,Semester,11-12,False,False,This online hybrid course provides students with an opportunity to experience an independent educational environment where learning and assessment is completed in an online self-paced classroom with the guidance of an instructor as needed. Students who select this course over the traditional Personal Financial Literacy option should be self-motivated with strong time management skills. Students enrolled are required to be physically present at all class meetings. The course includes elements of student choice over time place or pace in their learning. This option will cover the same material as the traditional Personal Financial Literacy course and satisfies the state graduation requirement for financial economic business and entrepreneurial literacy.,Business,22
THE BUSINESS OF SPORTS AND ENTERTAINMENT (609),Successful completion of Marketing.,2.5,Semester,11-12,False,False,The Business of Sports and Entertainment is a one semester course designed to provide students with an understanding of business concepts and foundations as they relate to career opportunities in the growing area of sports and entertainment.  Instruction will focus on public relations and publicity event planning and marketing sponsorship venue design concessions risk management product planning licensing ticket sales and distribution.,Business,23
SOCIAL MEDIA MARKETING (616),Successful completion of Marketing.,2.5,Semester,11-12,False,False,Social Media Marketing is a one semester course designed to provide students with an understanding of what social media is the various channels through which it operates and its role in a marketing strategy. Students will draw upon knowledge learned in Marketing to develop and create marketing plans that include ideas messages products and behaviors across social networks. Students will gain the knowledge and skills to effectively use social media to market a business and/or product.,Business,24
WEB DESIGN (627),None.,2.5,Semester,10-12,False,False,Students in this half-year course will be able to plan and produce websites focused on the marketing and sales of a product or service or develop an Electronic Career Portfolio. Students will follow the website development process of providing a written website purpose statement identifying a target audience selecting the website structure and determining content and design.  Students will learn how to create a website in various platforms such as Google Sites Wix and WordPress while learning hypertext markup language and CSS.,Business,25
ENGLISH FOR SUCCESS 1 (116),Recommendation by ESL teacher and School Counselor.,5.0,Full Year,9-12,False,False,This is a skill-building course that serves as a bridge between the newly exited and mainstream English Language Learners. The purpose of this course is (1) to develop skills in communicating and understanding nuances of the English language; (2) to foster the understanding of American culture through literature and media; and (3) to highlight the importance and contribution of students’ diverse backgrounds to the school and American community.  This course can be a substitute for a standard English class for one year.,English,26
GENERAL ENGLISH 1 (171),This course is assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,5.0,Full Year,9,False,False,General English 1 is a course designed to meet the goals and objectives identified in each student’s IEP. Instruction is specialized to promote progress toward the acquisition of curricular standards.  There are course proficiencies appropriate to each student’s performance level.  Assignments include reading novels a short story collection and an anthology.  Skills required for State mandated assessments for graduation and real world application skills are also reinforced throughout this course.,English,27
ENGLISH 1 CP (112),None.,5.0,Full Year,,False,False,Completion of a summer reading assignment is required for this course. This required English 1 course for ninth graders is organized around four basic essential questions that serve as an introduction to the thematic sequence of the high school English curriculum.  They are as follows:  How do our age and experience affect our thinking and decision making? To what extent can you really understand someone?  What makes a good friend?  What makes something tragic?  Additionally each marking period/unit will spotlight a different writing genre (narrative expository/research persuasive and literary analysis) a different literary element (character setting point of view and theme) as well as a different oral speaking project.  Each of these skill sets will serve as the foundation for all subsequent grade levels.,English,28
ENGLISH 1 HUMANITIES CP (112H),None.,5.0,Full Year,,False,False,Must be taken in conjunction with Modern World History Humanities.This interdisciplinary course will link four subjects (History English Art and Music) to explore the historical literary and cultural influences that have shaped the United States. Students will have a dedicated period for both English and History and will have an Art and Music teacher assigned to both sections for supplemental lessons.  Students will be immersed in a variety of texts including literature non-fiction electronic media film music and fine arts in order to create their own original print and non-print works. Students will have opportunities for experiential learning through field trips projects and specialized art and music lessons that highlight the humanities curriculum. These courses are designed to synthesize concepts in Modern World History the acquisition of literacy skills and an appreciation and application of the Fine and Performing Arts as a way of developing a cohesive understanding of the human experience from the Renaissance to the present.  Selection of 9th grade Humanities will require two dedicated class periods and will fulfill the Social Studies and English standards required for graduation by the state of New Jersey.,English,29
ENGLISH 1 HONORS (110),None.,5.0,Full Year,,False,True,Completion of a summer reading assignment is required for this course.  This required English 1 course for ninth graders is organized around four basic essential questions that serve as an introduction to the thematic sequence of the high school English curriculum.  They are as follows:  How do our age and experience affect our thinking and decision making? To what extent can you really understand someone?  What makes a good friend?  What makes something tragic?  Additionally each marking period/unit will spotlight a different writing genre (narrative expository/research persuasive and literary analysis) a different literary element (character setting point of view and theme) as well as a different oral speaking project.  Each of these skill sets will serve as the foundation for all subsequent grade levels. At the honors level greater depth and breadth of content will be covered at an accelerated pace. Students will read more complex texts assignments are more intensive and complex in that they promote expansion of concepts creative problem solving and critical thinking.  Interest in literature and learning analytical insight in class participation analytical insight in written assignments and disciplined work habits are key criteria for success in the Honors level.,English,30
ENGLISH 1 HUMANITIES HONORS (110H),None.,5.0,Full Year,,False,True,Paired with Modern World History Humanities H Must be taken in conjunction with Modern World History Humanities. This interdisciplinary course will link four subjects (History English Art and Music) to explore the historical literary and cultural influences that have shaped the United States. Students will have a dedicated period for both English and History and will have an Art and Music teacher assigned to both sections for supplemental lessons.  Students will be immersed in a variety of texts including literature non-fiction electronic media film music and fine arts in order to create their own original print and non-print works. Students will have opportunities for experiential learning through field trips projects and specialized art and music lessons that highlight the humanities curriculum. These courses are designed to synthesize concepts in Modern World History the acquisition of literacy skills and an appreciation and application of the Fine and Performing Arts as a way of developing a cohesive understanding of the human experience from the Renaissance to the present.  Selection of 9th grade Humanities will require two dedicated class periods and will fulfill the Social Studies and English standards required for graduation by the state of New Jersey.  Honors will be distinguished by a variety of additional independent readings informative class discussions and research-based assignments to highlight the relationship between course themes and contemporary issues.,English,31
GENERAL ENGLISH 2 (172),This course is assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,5.0,Full Year,,False,False,General English 2 is a course designed to meet the goals and objectives identified in each student’s IEP.  Instruction is specialized to promote progress toward the acquisition of curricular standards.  There are course proficiencies appropriate to each student’s performance level.  Assignments include reading novels a short story collection and an anthology.  Skills required for State mandated assessments for graduation and real world application skills are also reinforced throughout this course.,English,32
ENGLISH 2 HUMANITIES CP (122H),Successful completion of English 1.,5.0,Full Year,,False,False,"Must be taken in conjunction with US History 1 Humanities. This interdisciplinary course will link four subjects (History English Art and Music) to explore the historical literary and cultural influences that have shaped the United States. Students will have a dedicated period for both English and History and will have an Art and Music teacher assigned to both sections for supplemental lessons.  In this humanities course students will examine the economic literary political ,and intellectual influences that helped develop a unique American identity from Pre-Columbian societies and continuing through the beginning of the 20th century.  Students will be immersed in a variety of texts including literature non-fiction electronic media film music and fine arts in order to create their own original print and non-print works. Students will have opportunities for experiential learning through field trips projects and specialized art and music lessons that highlight the humanities curriculum. These courses are designed to synthesize concepts in Modern American History the acquisition of literacy skills and an appreciation and application of the Fine and Performing Arts as a way of developing a cohesive understanding of the human experience from the turn of the 20th century to the present. Selection of 10th grade Humanities will require two dedicated class periods and will fulfill the English and Social Studies standards required for graduation by the state of New Jersey.",English,33
ENGLISH 2 HONORS (120),Successful completion of English 1.,5.0,Full Year,,False,True,Completion of a summer reading assignment is required for this course. English 2 will investigate four new questions that build upon themes introduced in English 9.  These questions (How do our social class and family affect our thinking? To what extent do individuals control their own lives? What makes a hero? and What makes something frightening?) will be used as a springboard to help strengthen students’ reading and writing skills and provide additional preparation for State mandated assessments for graduation as well as the SATs. At the honors level greater depth and breadth of content will be covered at an accelerated pace. Students will read more complex texts assignments are more intensive and complex in that they promote expansion of concepts creative problem solving and critical thinking.  Interest in literature and learning analytical insight in class participation analytical insight in written assignments and disciplined work habits are key criteria for success in the Honors level.,English,34
ENGLISH 2 HUMANITIES HONORS (120H),Successful completion of English 1.,5.0,Full Year,,False,True,Must be taken in conjunction with US History 1 Humanities.  This interdisciplinary course will link four subjects (History English Art and Music) to explore the historical literary and cultural influences that have shaped the United States. Students will have a dedicated period for both English and History and will have an Art and Music teacher assigned to both sections for supplemental lessons.  In this humanities course students will examine the economic literary political and intellectual influences that helped develop a unique American identity from Pre-Columbian societies through the beginning of the 20th century.  Students will be immersed in a variety of texts including literature non-fiction electronic media film music and fine arts in order to create their own original print and non-print works. Students will have opportunities for experiential learning through field trips projects and specialized art and music lessons that highlight the humanities curriculum. These courses are designed to synthesize concepts in Modern American History the acquisition of literacy skills and an appreciation and application of the Fine and Performing Arts as a way of developing a cohesive understanding of the human experience from the turn of the 20th century to the present.  Selection of 10th grade Humanities will require two dedicated class periods and will fulfill the English and Social Studies standards required for graduation by the state of New Jersey.  Honors will be distinguished by a variety of additional independent readings informative class discussions and research-based assignments to highlight the relationship between course themes and contemporary issues.,English,35
GENERAL ENGLISH 3 (173),This course is assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,5.0,Full Year,,False,False,General English 3 is a course designed to meet the goals and objectives identified in each student’s IEP. Instruction is specialized to promote progress toward the acquisition of curricular standards.  There are course proficiencies appropriate to each student's performance level.  Assignments include reading novels a short story collection and an anthology.  Skills required for State mandated assessments for graduation and real world application skills are also reinforced throughout this course.,English,36
ENGLISH 3 CP (132),Successful completion of English 2.,5.0,Full Year,,False,False,Completion of a summer reading assignment is required for this course.   While English 3 is designed for students to build upon question strands that emerge from those examined in grades 9 and 10 this junior-year course will also emphasize but not be limited to the study of a variety of American literary works.  Units are also centered upon questions that represent some of our country’s major concerns over the past two hundred years.  These include: How do time and place affect our thinking?  Is “liberty and justice” attainable for all? What makes a good citizen? What makes something beautiful?  Each thematic unit will contain literature in each genre – novel drama poetry non-fiction and short story – spanning the history of our nation.  As with the preceding grade levels each unit will also be accompanied with practice in a particular writing genre study of a specific literary element and opportunities to develop and perform various oral speaking tasks.,English,37
ENGLISH 3 HUMANITIES CP (132H),Successful completion of English 2.,5.0,Full Year,,False,False,Must be taken in conjunction with US History 2 Humanities.   This interdisciplinary course will link four subjects (History English Art and Music) to explore the historical literary and cultural influences that have shaped the United States. Students will have a dedicated period for both English and History and will have an Art and Music teacher assigned to both sections for supplemental lessons.  Students will be immersed in a variety of texts including literature non-fiction electronic media film music and fine arts in order to create their own original print and non-print works. Students will have opportunities for experiential learning through field trips projects and specialized art and music lessons that highlight the humanities curriculum. These courses are designed to synthesize concepts in Modern American History the acquisition of literacy skills and an appreciation and application of the Fine and Performing Arts as a way of developing a cohesive understanding of the human experience from the turn of the 20th century to the present.  Art and Music teachers will supplement instruction and enrich content.  Selection of 11th grade Humanities will require two dedicated class periods and will fulfill the Social Studies and English standards required for graduation by the state of New Jersey.,English,38
ENGLISH 3 HONORS (130),Successful completion of English 2.,5.0,Full Year,,False,True,Completion of a summer reading assignment is required for this course.   While English 3 is designed for students to build upon question strands that emerge from those examined in grades 9 and 10 this junior-year course will also emphasize but not be limited to the study of a variety of American literary works.  Units are also centered upon questions that represent some of our country’s major concerns over the past two hundred years.  These include: How do time and place affect our thinking?  Is “liberty and justice” attainable for all? What makes a good citizen? What makes something beautiful?  Each thematic unit will contain literature in each genre – novel drama poetry non-fiction and short story – spanning the history of our nation.  As with the preceding grade levels each unit will also be accompanied with practice in a particular writing genre study of a specific literary element and opportunities to develop and perform various oral speaking tasks. At the honors level greater depth and breadth of content will be covered at an accelerated pace. Students will read more complex texts assignments are more intensive and complex in that they promote expansion of concepts creative problem solving and critical thinking.  Interest in literature and learning analytical insight in class participation analytical insight in written assignments and disciplined work habits are key criteria for success in the Honors level.,English,39
ENGLISH 3 HUMANITIES H (130),Successful completion of English 2.,5.0,Full Year,,False,False,Must be taken in conjunction with US History 2 Humanities.  This interdisciplinary course will link four subjects (History English Art and Music) to explore the historical literary and cultural influences that have shaped the United States. Students will have a dedicated period for both English and History and will have an Art and Music teacher assigned to both sections for supplemental lessons.  Students will be immersed in a variety of texts including literature non-fiction electronic media film music and fine arts in order to create their own original print and non-print works. Students will have opportunities for experiential learning through field trips projects and specialized art and music lessons that highlight the humanities curriculum. These courses are designed to synthesize concepts in Modern American History the acquisition of literacy skills and an appreciation and application of the Fine and Performing Arts as a way of developing a cohesive understanding of the human experience from the turn of the 20th century to the present.  Art and Music teachers will supplement instruction and enrich content.  Selection of 11th grade Humanities will require two dedicated class periods and will fulfill the Social Studies and English standards required for graduation by the state of New Jersey.  Honors will be distinguished by a variety of additional independent readings informative class discussions and research-based assignments to highlight the relationship between course themes and contemporary issues.,English,40
AP ENGLISH LANGUAGE AND COMPOSITION (131),Successful completion of English 2.,5.0,Full Year,,True,False,Completion of a summer reading and writing assignment is required for this course. This rigorous course is open to junior students and is recommended on the basis of ninth and tenth grade work of superior quality teacher evaluation and performance on an in-school writing task.  The main emphasis of the course is written literary analysis frequent in class discussion techniques of research and a focus on the works of American authors.  Students will examine a writer’s purpose and the use of rhetorical devices including tone diction audience organization and style.  In response to a variety of fiction and non-fiction texts they will write a variety of expository analytical and argumentative papers. It is expected that all students take the AP English Language and Composition exam in May.,English,41
GENERAL ENGLISH 4 (174),This course is assigned at the recommendation of the Child Study Team and is a Resource Center Level course.,5.0,Full Year,,False,False,General English 4 is a course designed to meet the goals and objectives identified in each student’s IEP. Individual remediation is part of each lesson.  Instruction is specialized to promote progress toward the acquisition of curricular standards.  There are course proficiencies appropriate to each student's performance level.  Assignments include reading novels a short story collection and an anthology.   Skills required for State mandated assessments for graduation and real world application skills are also reinforced throughout this course.,English,42
ENGLISH 4 CP (142),Successful completion of English 3.,5.0,Full Year,,False,False,Completion of a summer reading assignment is required for this course. This required senior-year course is comprised of world literature focusing on major themes of writers of all periods and cultures.  The essential questions in this final year of high school English are designed not only to ramp up in terms of intellectual sophistication but are also accompanied by a variety of works requiring a degree of emotional maturity.  Questions such as How do race and gender affect our thinking and decision making? What are the ingredients of a perfect world? What makes for true love? and What makes something comedic? are used to promote independent thinking critical analysis and college readiness skills.  The end of the year culminates with an independent study project presented by each student to their peers that explores an area of personal interest and the formulation of an original thesis.,English,43
